shard_id,local_index,band_idx,band_label,target_y,teacher_pred,teacher_abs_err,fen,sf_final_target,sf_final_cp,sf_target_range,sf_target_std,sf_cp_range,sf_bestmove_changes,sf_sign_flips,sf_final_gap_to_train_target,sf_target_n2000,sf_cp_n2000,sf_bestmove_n2000,sf_target_n8000,sf_cp_n8000,sf_bestmove_n8000,sf_target_n32000,sf_cp_n32000,sf_bestmove_n32000,rank_target_range,rank_target_std,rank_bestmove_changes,rank_sign_flips,instability_score
9,8836,0,"[0.000,0.050]",-0.0,-0.054168701171875,0.054168701171875,1k2r3/1R6/K7/1P6/8/8/8/8 b - - 0 1,-0.029991003238820143,-18.0,0.011655450431491906,0.004774435642625053,7.0,0,0,0.029991003238820143,-0.036650243399912595,-22.0,b8a8,-0.02499479296842069,-15.0,b8a8,-0.029991003238820143,-18.0,b8a8,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.07368421052631578,0.03421052631578947
1,755,2,"[0.100,0.150]",-0.1358221024274826,-0.07427978515625,0.061542317271232605,rn1q1rk1/pp3ppp/2pn4/2b4b/N7/3B1N1P/PPP2PP1/R1BQ1RK1 b - - 0 1,-0.12927258360605834,-78.0,0.02287026530736594,0.009367744521205056,14.0,0,0,0.006549518821424266,-0.13909244787845804,-84.0,b8d7,-0.15214284891342428,-92.0,b8d7,-0.12927258360605834,-78.0,b8d7,0.14736842105263157,0.1368421052631579,0.0,0.0,0.07105263157894737
4,45923,2,"[0.100,0.150]",-0.14235976338386536,-0.2139892578125,0.07162949442863464,r1b1k1nr/pp2ppbp/6p1/qB1Pp3/4P3/2N2N2/PP3PPP/R2QK2R b KQkq - 0 1,-0.1941697464836912,-118.0,0.024169743409103578,0.009875068473564508,15.0,0,0,0.051809983099825846,-0.17000000307458762,-103.0,e8f8,-0.18291795686556014,-111.0,e8f8,-0.1941697464836912,-118.0,e8f8,0.17894736842105263,0.15789473684210525,0.010526315789473684,0.031578947368421054,0.09473684210526315
25,39519,1,"[0.050,0.100]",-0.051620740443468094,-0.0225830078125,0.029037732630968094,r2qkb1r/pp3ppp/2n1pn2/8/3P2b1/1QN2N2/PP2BPPP/R1B2RK1 b kq - 0 1,-0.05328282290096793,-32.0,0.013285253601294636,0.005480056741146606,8.0,0,0,0.0016620824574998389,-0.061588617176587195,-37.0,d8b6,-0.06656807650226257,-40.0,d8b6,-0.05328282290096793,-32.0,d8b6,0.031578947368421054,0.031578947368421054,0.10526315789473684,0.23157894736842105,0.1
20,1132,2,"[0.100,0.150]",-0.10791151225566864,-0.06353759765625,0.04437391459941864,r1bq2k1/pppnn1bp/3p2p1/3Pp3/2P1P3/2N5/PP1B2PP/R2QNBK1 b - - 0 1,-0.11614021174790659,-70.0,0.01807494741212655,0.007469321157118931,11.0,0,0,0.00822869949223795,-0.12763341762655608,-77.0,h7h6,-0.10955847021442953,-66.0,h7h6,-0.11614021174790659,-70.0,h7h6,0.08421052631578947,0.08421052631578947,0.06315789473684211,0.17894736842105263,0.10263157894736842
14,21815,2,"[0.100,0.150]",0.1407264918088913,0.1510009765625,0.010274484753608704,3q1rk1/pp1b1pbp/3pp1p1/4n3/P2N4/1BP4P/2PQ1PP1/R3R1K1 b - - 0 1,0.1941697464836912,118.0,0.028810346094839956,0.011974238573119973,18.0,0,0,0.053443254674799906,0.21333871221642287,130.0,d8a5,0.1845283661215829,112.0,d8a5,0.1941697464836912,118.0,d8a5,0.28421052631578947,0.2631578947368421,0.05263157894736842,0.12631578947368421,0.181578947368421
20,25612,3,"[0.150,0.200]",-0.18613778054714203,-0.00913238525390625,0.17700539529323578,r4rk1/p1pq2bp/2pp1p2/5b2/7B/2N5/PPP3PP/R2Q1RK1 w - - 0 1,-0.1732351578346601,-105.0,0.030722847531122033,0.012548954442510283,19.0,0,0,0.012902622712481937,-0.1877462058682854,-114.0,d1d2,-0.15702335833716335,-95.0,d1d2,-0.1732351578346601,-105.0,d1d2,0.29473684210526313,0.28421052631578947,0.07368421052631578,0.18947368421052632,0.2105263157894737
8,15766,3,"[0.150,0.200]",0.161896213889122,0.2418212890625,0.07992507517337799,r7/2k5/1pr1pp2/3p2pp/PR1P4/1RP3PP/P4K2/8 b - - 0 1,0.14235976521654709,86.0,0.022780647708082247,0.010377810096790811,14.0,1,0,0.019536448672574924,0.1635187536836725,99.0,h5h4,0.16514041292462933,100.0,a8a6,0.14235976521654709,86.0,a8a6,0.1368421052631579,0.16842105263157894,0.4842105263157895,0.06315789473684211,0.2131578947368421
56,10383,0,"[0.000,0.050]",0.0,-0.51904296875,0.51904296875,8/8/8/7R/1n1k4/P3p1P1/1r5P/5K2 w - - 0 1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,a3b4,0.0,0.0,a3b4,0.0,0.0,a3b4,0.0,0.0,0.28421052631578947,0.6105263157894737,0.2236842105263158
13,46138,1,"[0.050,0.100]",-0.08479588478803635,-0.10784912109375,0.023053236305713654,4r3/1pR3k1/4p1P1/3p4/5P2/P2B4/1b2K3/8 b - - 0 1,-0.09306326199720014,-56.0,0.0362093216088582,0.01478240388393421,22.0,0,0,0.00826737720916379,-0.12927258360605834,-78.0,g7f8,-0.11120482963833021,-67.0,g7f8,-0.09306326199720014,-56.0,g7f8,0.3894736842105263,0.3684210526315789,0.042105263157894736,0.11578947368421053,0.22894736842105262
